feature,winner_mean,loser_mean,winner_std,loser_std,cohens_d,abs_d,used_log,note
price_vs_baseline_range,4.0216497858978,1.39028257296145,6.642437305361334,0.5385371016129725,0.9382927015141883,0.9382927015141883,True,STRONG separation — winners higher
vol_ratio_vs_baseline,6.489102919039829,15.678507347432006,9.034243053181312,22.547048950962193,-0.5983117758515161,0.5983117758515161,True,MEDIUM separation — losers higher
vol_consistency,0.632258064516129,0.7346666666666667,0.2563972425702167,0.1839303821763233,-0.5140969439862623,0.5140969439862623,True,MEDIUM separation — losers higher
price_retracement_depth,0.5405594797307158,0.6917460314691337,0.35430062584098404,0.47850923718876837,-0.36712680052389507,0.36712680052389507,True,WEAK separation — losers higher
vol_no_gap,4.645161290322581,5.46,4.191645556713769,4.006168712760615,-0.32109890047363365,0.32109890047363365,True,WEAK separation — losers higher
unique_buyer_estimate,1.1796224103697157,1.3217049340475486,0.4298431753786579,0.6201119879237225,-0.25573467940964206,0.25573467940964206,False,WEAK separation — losers higher
vol_acceleration,279666.6410941345,23046631989440.12,9101764.773327736,162964307601703.0,0.2287212141251432,0.2287212141251432,True,WEAK separation — winners higher
volume_trend_before,89432.6880323974,-5741842206.909945,3384540.4751661695,40600285689.149605,0.22290978836398836,0.22290978836398836,True,WEAK separation — winners higher
price_trend_before,7.255864757521573e-07,-1.9716807738968407e-06,3.105075932281093e-06,1.6635861883469006e-05,0.20370948837370287,0.20370948837370287,False,WEAK separation — winners higher
price_higher_lows,7.709677419354839,7.34,2.17858590813853,2.369965125034027,0.18434687890532023,0.18434687890532023,True,NO meaningful separation — winners higher
price_staircase_ratio,0.5506912442396313,0.5242857142857142,0.15561327915275217,0.1692832232167162,0.1707009394375923,0.1707009394375923,True,NO meaningful separation — winners higher
tx_count_vs_baseline,1.0,1.0,0.0,0.0,0,0,False,NO meaningful separation — losers higher
